Word                     Frequency
a                        462
a.m.                     1
a380                     1
aarhus                   2
aaron                    1
ability                  4
able                     9
abnormalities            1
aboard                   6
about                    53
above                    2
abstract                 1
abundance                1
abundant                 1
abundantly               1
academia                 1
academics                1
academy                  3
accelerate               1
accelerometer            2
accept                   1
access                   3
accident                 1
accidental               1
accidentally             1
accommodate              1
accompanied              1
accomplish               1
according                16
account                  2
accretion                1
accuracy                 2
accurate                 1
acer                     1
achilles                 1
acidic                   1
acknowledged             1
acknowledging            1
acoustic                 5
acoustics                1
acq                      1
acquired                 1
acquiring                1
acquisition              1
across                   2
action                   2
activated                1
activating               1
active                   3
actively                 1
activists                1
activities               1
activity                 3
actual                   3
actuality                1
actually                 8
acuity                   2
adapt                    2
adaptation               2
add                      2
added                    1
addition                 2
additional               4
additionally             1
address                  5
addressing               1
adenocarcinoma           1
adequately               1
administration           1
adoption                 1
adrenaline               3
adrenoceptors            1
adults                   5
advance                  4
advanced                 3
advances                 1
advantage                4
adverse                  1
advice                   1
advisor                  1
aerospace                3
affect                   1
affects                  2
affiliated               1
africa                   1
after                    19
afternoon                4
afterward                1
again                    3
against                  13
age                      3
agencies                 2
agency                   7
agencys                  1
agents                   2
ages                     1
aggressive               1
aging                    1
ago                      7
agree                    1
agreeing                 1
agreements               2
aided                    1
aim                      1
aimed                    1
aiming                   1
air                      3
aircraft                 1
aircraft-like            1
airline                  1
airplane                 1
airplanes                1
akin                     1
alamos                   3
alcatel-lucent           1
alerted                  1
alexander                2
algorithm                1
alive                    1
all                      19
all-or-nothing           1
all-sky                  1
alleged                  3
allegedly                4
alleges                  1
allergy                  1
alliance                 1
allow                    2
allowed                  5
allowing                 2
allows                   2
almost                   3
alone                    4
along                    4
aloud                    1
already                  7
also                     57
alterations              1
altered                  2
although                 7
altitude                 1
always                   1
alzheimers               1
am                       7
amazed                   1
amazing                  2
amazon                   17
amazons                  4
amblyopia                6
america                  1
american                 1
ammonia                  1
among                    6
amount                   2
amounts                  1
an                       75
analyses                 1
analysis                 3
analytical               1
analyze                  1
analyzed                 2
ancient                  12
and                      433
android                  11
androids                 1
angeles-based            1
angles                   1
angular                  1
animal                   2
animals                  1
anne                     1
announced                2
annual                   1
anonymizing              1
anonymous                16
another                  5
answering                1
answers                  1
antenna                  2
anthony                  1
anthropology             1
anti-cancer              1
anti-tumour              1
antibiotic               8
antibiotics              3
antibodies               9
antibody                 1
anticipated              1
anticipating             1
any                      13
anymore                  1
anyone                   1
anything                 4
anyway                   1
anywhere                 1
apart                    3
app                      4
apparently               1
appeal                   1
appear                   4
appearance               2
appeared                 2
appearing                2
appears                  4
applause                 1
apple                    31
apple:                   1
apples                   2
application              3
applications             1
appreciated              1
approach                 7
approaches               1
appropriates             1
approval                 1
approve                  3
approved                 2
approximately            5
apps                     4
april                    4
aquaculture              1
aquarium                 1
aquatic                  1
arc                      1
archaea                  3
archaeocete              5
archaeocetes             4
architecture             1
are                      133
area                     2
areas                    3
argued                   3
argues                   1
arguing                  1
arise                    2
arizona                  1
arm                      1
army                     1
around                   25
arraignment              2
arraignments             1
array                    2
arrested                 1
arrestin                 1
arrests                  1
arrival                  1
arrived                  3
arrives                  1
arrowhead                1
article                  1
artificial               1
artiodactyls             1
arvidson                 1
as                       101
ashley                   1
asked                    6
aspect                   1
aspects                  1
